vertices,edges,Density,Comparisons,Divisions,Additions,Solutions,Time,resposta,peso
1,0,12.5,20002,0,10001,0,0.03899884223937988,[0],58
2,0,12.5,50230,0,10001,0,0.06000089645385742,"[0, 1]",74
3,0,12.5,200535,0,20001,0,0.13599824905395508,"[0, 1, 2]",99
4,0,12.5,510992,0,30001,0,0.2790055274963379,"[1, 2, 3, 0]",131
5,1,12.5,631247,0,12024,0,0.2850029468536377,"[4, 1, 0, 2]",127
6,1,12.5,1241943,0,13339,0,0.48999834060668945,"[1, 0, 3, 2, 4]",159
7,2,12.5,1442491,0,7619,0,0.48600053787231445,"[6, 1, 4, 3, 2]",116
8,3,12.5,1643580,0,1509,0,0.5199992656707764,"[4, 3, 5, 1, 7]",215
9,4,12.5,2754081,0,3639,0,0.8899960517883301,"[0, 7, 1, 3, 8, 6]",215
10,5,12.5,3058662,0,1497,0,0.9040093421936035,"[8, 7, 5, 3, 1, 2]",221
11,6,12.5,3370640,0,875,0,0.9809985160827637,"[3, 10, 1, 5, 6, 8]",219
12,8,12.5,3681988,0,1321,0,1.0440125465393066,"[2, 1, 5, 7, 3, 8]",221
13,9,12.5,4031183,0,121,0,1.1320011615753174,"[5, 8, 0, 3, 1, 10]",262
14,11,12.5,6106090,0,495,0,1.625002384185791,"[3, 5, 6, 4, 8, 9, 13]",224
15,13,12.5,5112308,0,28,0,1.3509998321533203,"[6, 8, 5, 14, 3, 4]",185
16,15,12.5,2406368,0,39,0,0.6640019416809082,"[11, 9, 15, 6]",225
17,17,12.5,6198153,0,69,0,1.6039948463439941,"[5, 3, 6, 11, 8, 9]",275
18,19,12.5,4665200,0,31,0,1.2020013332366943,"[15, 6, 9, 1, 11]",241
19,21,12.5,9227631,0,40,0,2.2899882793426514,"[5, 13, 16, 3, 9, 17, 0]",342
20,23,12.5,10010897,0,39,0,2.5470035076141357,"[11, 2, 0, 1, 15, 10, 8]",343
21,26,12.5,10330143,0,16,0,2.6499791145324707,"[6, 0, 4, 2, 1, 9, 20]",214
22,28,12.5,14027286,0,77,0,3.411003351211548,"[6, 5, 20, 1, 2, 16, 0, 21]",251
23,31,12.5,15701877,0,26,0,3.7440025806427,"[20, 18, 6, 8, 22, 3, 16, 13]",216
24,34,12.5,16025220,0,21,0,3.790982246398926,"[16, 14, 5, 2, 1, 20, 13, 15]",269
25,37,12.5,16921411,0,7,0,4.010002613067627,"[11, 17, 6, 4, 20, 19, 9, 15]",404
26,40,12.5,21303947,0,54,0,4.905001640319824,"[22, 14, 1, 13, 0, 4, 16, 20, 18]",309
27,43,12.5,18633289,0,7,0,4.383002519607544,"[22, 20, 17, 3, 16, 14, 9, 2]",326
28,47,12.5,28894717,0,36,0,6.5690014362335205,"[5, 16, 14, 20, 1, 8, 22, 13, 15, 2]",316
29,50,12.5,31437171,0,31,0,7.066998720169067,"[24, 22, 4, 1, 3, 14, 2, 16, 28, 20]",390
30,54,12.5,25275916,0,7,0,5.797000885009766,"[13, 15, 22, 16, 19, 26, 17, 18, 3]",420
31,58,12.5,33632946,0,8,0,7.6559977531433105,"[17, 24, 30, 14, 1, 29, 3, 28, 2, 16]",450
32,62,12.5,39268495,0,29,0,8.738000869750977,"[29, 25, 2, 19, 5, 26, 22, 6, 13, 3, 4]",430
33,66,12.5,43195060,0,15,0,9.992027521133423,"[3, 13, 21, 2, 25, 20, 27, 4, 10, 0, 29]",387
34,70,12.5,41636611,0,33,0,9.215001344680786,"[1, 3, 15, 32, 2, 6, 21, 28, 11, 20, 22]",380
35,74,12.5,53039854,0,27,0,11.83298945426941,"[5, 1, 30, 25, 2, 13, 31, 29, 27, 3, 17, 4]",432
36,78,12.5,45309787,0,42,0,10.131001234054565,"[29, 18, 8, 4, 3, 21, 32, 2, 20, 17, 27]",276
37,83,12.5,55464001,0,39,0,12.1360023021698,"[35, 13, 22, 3, 20, 32, 4, 1, 19, 34, 30, 7]",444
38,87,12.5,50065690,0,16,0,11.185002088546753,"[3, 10, 8, 16, 5, 30, 1, 32, 14, 17, 13]",439
39,92,12.5,67361591,0,134,0,15.00800085067749,"[17, 6, 14, 2, 4, 25, 36, 27, 32, 20, 21, 3, 18]",424
40,97,12.5,59108866,0,52,0,12.979001522064209,"[22, 20, 2, 21, 27, 32, 16, 8, 29, 3, 37, 24]",385
41,102,12.5,51790477,0,15,0,11.50099802017212,"[35, 32, 3, 31, 4, 20, 14, 18, 16, 26, 13]",365
42,107,12.5,71958148,0,101,0,15.659000396728516,"[31, 29, 20, 3, 6, 41, 5, 38, 34, 32, 26, 27, 39]",392
43,112,12.5,73929827,0,61,0,16.46399998664856,"[13, 35, 0, 3, 27, 1, 14, 20, 2, 32, 30, 4, 42]",375
44,118,12.5,65707874,0,28,0,14.47300124168396,"[30, 32, 2, 26, 4, 1, 15, 20, 3, 14, 8, 40]",390
45,123,12.5,76947936,0,38,0,16.834001541137695,"[18, 34, 35, 42, 41, 27, 3, 2, 38, 5, 29, 20, 32]",369
46,129,12.5,84150283,0,36,0,18.461003065109253,"[29, 44, 3, 38, 13, 2, 35, 21, 42, 5, 16, 20, 11]",431
47,135,12.5,68079851,0,13,0,15.44498610496521,"[34, 40, 13, 7, 3, 38, 20, 22, 44, 35, 28]",438
48,141,12.5,70748822,0,53,0,15.798975229263306,"[2, 42, 35, 32, 21, 29, 38, 20, 18, 28, 26, 47]",335
49,147,12.5,74625492,0,22,0,16.554996013641357,"[2, 27, 18, 38, 30, 35, 12, 42, 28, 32, 20, 41]",412
50,153,12.5,62722699,0,15,0,14.214987516403198,"[42, 28, 22, 35, 12, 48, 3, 30, 8, 33, 49]",426
51,159,12.5,87670098,0,29,0,19.478005170822144,"[8, 2, 4, 19, 27, 35, 20, 49, 14, 29, 6, 15, 50]",380
52,165,12.5,92706741,0,32,0,20.6499981880188,"[51, 34, 1, 21, 41, 47, 17, 23, 32, 42, 26, 19, 18]",528
